magic,pos_id,session,symbol,direction,volume,open_time_utc,open_hour_utc,close_time_utc,open_price,close_price,profit,dst_state,ny_intended_setting
28260302.0,961832950,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:58,5,2026-03-11 05:00:58,5207.3,5207.36,0.06,US_EDT_Only,17-21
28260302.0,961833025,LONDON,XAUUSD+,BUY,0.01,2026-03-11 05:00:58,5,2026-03-11 05:01:10,5207.53,5205.36,-2.17,US_EDT_Only,17-21
28260321.0,961941537,ASIA,XAUUSD+,SELL,0.05,2026-03-11 05:20:00,5,2026-03-11 05:20:55,5204.67,5204.08,2.95,US_EDT_Only,17-21
28260331.0,961961769,ASIA,XAUUSD+,SELL,0.05,2026-03-11 05:26:00,5,2026-03-11 05:26:18,5205.62,5204.79,4.15,US_EDT_Only,17-21
28260311.0,962007261,ASIA,XAUUSD+,SELL,0.05,2026-03-11 05:39:00,5,2026-03-11 05:40:04,5205.72,5205.17,2.75,US_EDT_Only,17-21
28260306.0,962049952,ASIA,XAUUSD+,SELL,0.01,2026-03-11 05:49:00,5,2026-03-11 05:50:18,5212.28,5214.44,-2.16,US_EDT_Only,17-21
28260303.0,962049954,NY,XAUUSD+,SELL,0.01,2026-03-11 05:49:00,5,2026-03-11 05:50:18,5212.28,5214.44,-2.16,US_EDT_Only,17-21
28260303.0,962049955,NY,XAUUSD+,SELL,0.01,2026-03-11 05:49:00,5,2026-03-11 05:50:18,5212.28,5214.44,-2.16,US_EDT_Only,17-21
28260303.0,962201905,NY,XAUUSD+,BUY,0.01,2026-03-11 06:29:00,6,2026-03-11 06:29:14,5205.89,5206.57,0.68,US_EDT_Only,17-21
28260303.0,962204049,NY,XAUUSD+,BUY,0.01,2026-03-11 06:29:14,6,2026-03-11 06:29:16,5207.05,5207.23,0.18,US_EDT_Only,17-21
28260303.0,962204385,NY,XAUUSD+,BUY,0.01,2026-03-11 06:29:16,6,2026-03-11 06:29:19,5207.14,5207.39,0.25,US_EDT_Only,17-21
28260303.0,962204628,NY,XAUUSD+,BUY,0.01,2026-03-11 06:29:19,6,2026-03-11 06:29:45,5207.54,5205.37,-2.17,US_EDT_Only,17-21
28260303.0,962206090,NY,XAUUSD+,BUY,0.01,2026-03-11 06:29:45,6,2026-03-11 06:30:38,5205.5,5205.68,0.18,US_EDT_Only,17-21
28260307.0,962383891,LONDON,XAUUSD+,SELL,0.01,2026-03-11 07:40:00,7,2026-03-11 07:44:49,5207.65,5206.89,0.76,US_EDT_Only,17-21
28260306.0,962383892,LONDON,XAUUSD+,SELL,0.01,2026-03-11 07:40:00,7,2026-03-11 07:42:41,5207.65,5207.59,0.06,US_EDT_Only,17-21
28260303.0,962383893,NY,XAUUSD+,SELL,0.01,2026-03-11 07:40:00,7,2026-03-11 07:42:36,5207.65,5207.56,0.09,US_EDT_Only,17-21
28260307.0,962399080,LONDON,XAUUSD+,BUY,0.01,2026-03-11 07:47:00,7,2026-03-11 07:50:19,5204.44,5205.34,0.9,US_EDT_Only,17-21
28260306.0,962399078,LONDON,XAUUSD+,BUY,0.01,2026-03-11 07:47:00,7,2026-03-11 07:49:59,5204.44,5204.6,0.16,US_EDT_Only,17-21
28260303.0,962399079,NY,XAUUSD+,BUY,0.01,2026-03-11 07:47:00,7,2026-03-11 07:49:54,5204.44,5204.55,0.11,US_EDT_Only,17-21
28260322.0,962441732,LONDON,XAUUSD+,SELL,0.05,2026-03-11 08:02:00,8,2026-03-11 08:02:11,5205.19,5204.91,1.4,US_EDT_Only,17-21
28260322.0,962448287,LONDON,XAUUSD+,SELL,0.05,2026-03-11 08:05:11,8,2026-03-11 08:05:22,5205.03,5204.75,1.4,US_EDT_Only,17-21
28260332.0,962450392,LONDON,XAUUSD+,SELL,0.05,2026-03-11 08:06:00,8,2026-03-11 08:06:02,5205.75,5205.2,2.75,US_EDT_Only,17-21
28260312.0,962457895,LONDON,XAUUSD+,SELL,0.05,2026-03-11 08:08:00,8,2026-03-11 08:10:17,5206.99,5206.55,2.2,US_EDT_Only,17-21
28260322.0,962475171,LONDON,XAUUSD+,BUY,0.05,2026-03-11 08:14:00,8,2026-03-11 08:14:11,5204.23,5204.95,3.6,US_EDT_Only,17-21
28260332.0,962481376,LONDON,XAUUSD+,BUY,0.05,2026-03-11 08:16:00,8,2026-03-11 08:16:18,5204.08,5204.62,2.7,US_EDT_Only,17-21
28260312.0,962481377,LONDON,XAUUSD+,BUY,0.05,2026-03-11 08:16:00,8,2026-03-11 08:16:18,5204.08,5204.62,2.7,US_EDT_Only,17-21
28260322.0,962586219,LONDON,XAUUSD+,SELL,0.05,2026-03-11 08:41:00,8,2026-03-11 08:41:51,5203.99,5203.17,4.1,US_EDT_Only,17-21
28260322.0,962608441,LONDON,XAUUSD+,BUY,0.05,2026-03-11 08:44:50,8,2026-03-11 08:51:06,5201.3,5199.62,-8.4,US_EDT_Only,17-21
28260322.0,962616394,LONDON,XAUUSD+,BUY,0.05,2026-03-11 08:46:19,8,2026-03-11 08:51:06,5197.39,5199.62,11.15,US_EDT_Only,17-21
28260322.0,962675664,LONDON,XAUUSD+,SELL,0.05,2026-03-11 09:05:00,9,2026-03-11 09:05:01,5200.15,5199.79,1.8,US_EDT_Only,17-21
28260332.0,962683443,LONDON,XAUUSD+,SELL,0.05,2026-03-11 09:07:00,9,2026-03-11 09:07:10,5202.1,5201.75,1.75,US_EDT_Only,17-21
28260312.0,962686201,LONDON,XAUUSD+,SELL,0.05,2026-03-11 09:08:00,9,2026-03-11 09:08:18,5202.81,5202.46,1.75,US_EDT_Only,17-21
28260322.0,962756229,LONDON,XAUUSD+,BUY,0.05,2026-03-11 09:26:00,9,2026-03-11 09:26:02,5203.98,5204.43,2.25,US_EDT_Only,17-21
28260322.0,962774949,LONDON,XAUUSD+,BUY,0.05,2026-03-11 09:33:00,9,2026-03-11 09:33:15,5204.86,5205.2,1.7,US_EDT_Only,17-21
