tp,cutoff,tp_hits,misses,win_rate,avg_miss_pnl,total_pnl
170,20,54,8,87.09677419354838,-0.13337499999999863,90.7330000000001
170,30,54,8,87.09677419354838,-0.1379124999999999,90.69670000000008
180,2,26,36,56.451612903225815,-0.010791666666666009,46.41150000000002
180,3,34,28,67.74193548387096,-0.01498214285714182,60.78049999999998
180,5,40,22,69.35483870967742,-0.033440909090908126,71.26429999999996
180,10,48,14,80.64516129032258,-0.07574285714285581,85.33959999999995
180,15,52,10,85.48387096774194,-0.11327999999999794,92.46719999999993
180,20,53,9,85.48387096774194,-0.12898888888888804,94.23909999999992
180,30,53,9,85.48387096774194,-0.13796666666666674,94.1582999999999
190,2,25,37,56.451612903225815,-0.010072972972972353,47.12730000000001
190,3,33,29,66.12903225806451,-0.015417241379309419,62.25289999999998
190,5,39,23,67.74193548387096,-0.0320608695652165,73.36260000000001
190,10,47,15,79.03225806451613,-0.07410666666666595,88.18840000000004
190,15,51,11,83.87096774193549,-0.11727272727272563,95.61000000000008
190,20,52,10,83.87096774193549,-0.12739999999999965,97.52600000000007
190,30,52,10,83.87096774193549,-0.13995000000000074,97.40050000000004
200,2,25,37,56.451612903225815,-0.010072972972972353,49.62730000000003
200,3,32,30,66.12903225806451,-0.014476666666665855,63.565700000000014
200,5,39,23,67.74193548387096,-0.0320608695652165,77.26260000000002
200,10,47,15,79.03225806451613,-0.07410666666666595,92.88840000000002
200,15,51,11,83.87096774193549,-0.11727272727272563,100.71000000000002
200,20,52,10,83.87096774193549,-0.12739999999999965,102.726
200,30,52,10,83.87096774193549,-0.13995000000000074,102.60049999999998
210,2,21,41,54.83870967741935,-0.008387804878048195,43.756100000000046
210,3,31,31,64.51612903225806,-0.014854838709676597,64.63950000000004
210,5,38,24,66.12903225806451,-0.032683333333332405,79.0156
210,10,46,16,77.41935483870968,-0.07675624999999911,95.37189999999995
210,15,50,12,82.25806451612904,-0.11879999999999806,103.57439999999994
210,20,51,11,82.25806451612904,-0.12411818181818157,105.73469999999992
210,30,51,11,82.25806451612904,-0.13957272727272782,105.56469999999989
