outcome,pnl_dollars,exit_time_seconds,max_mfe_dollars,max_mae_dollars,pos_id,strategy,tp_setting,time_limit,actual_pl_norm
TIME_EXIT,0.10324999999999818,1680,0.1599499999999989,0.021450000000004365,968054581,HR05,0.4,28,1.18
TIME_EXIT,-0.11309999999999491,1680,0.01944999999999709,0.14744999999999892,968069404,HR05,0.4,28,0.4600000000000001
TIME_EXIT,-0.225649999999996,1680,0.029149999999999638,0.2349499999999989,968257123,HR05,0.4,28,0.8799999999999999
TIME_EXIT,-0.016899999999995998,1680,0.054750000000003636,0.04125,961154896,HR10,0.4,28,-0.7
TIME_EXIT,0.013800000000001091,1680,0.07835000000000036,0.017650000000003274,961158700,HR10,0.4,28,1.6599999999999997
TIME_EXIT,0.015200000000004366,1680,0.07655000000000654,0.007200000000002546,961190681,HR10,0.4,28,0.68
TIME_EXIT,0.06145000000000437,1680,0.07455000000000837,0.019149999999999636,961204402,HR10,0.4,28,0.38000000000000006
TIME_EXIT,-0.039049999999997455,1680,0.06420000000000073,0.04954999999999018,961250503,HR10,0.4,28,0.22000000000000003
TIME_EXIT,-0.17170000000000074,1680,0.06704999999999017,0.17654999999999746,961289092,HR10,0.4,28,0.47000000000000003
TIME_EXIT,0.18780000000000655,1680,0.26284999999999853,0.02414999999999054,961328663,HR10,0.4,28,0.4600000000000001
TIME_EXIT,-0.1575,1680,0.010950000000002546,0.20024999999999638,961377495,HR10,0.4,28,0.53
TIME_EXIT,0.0017000000000098226,1680,0.07780000000000654,0.018999999999996364,961697298,HR10,0.4,28,0.65
TIME_EXIT,0.1937500000000091,1680,0.19875000000000909,0.0007999999999992724,961732513,HR10,0.4,28,0.8699999999999999
TIME_EXIT,-0.1363500000000022,1680,0.029350000000004,0.1606999999999971,961756437,HR10,0.4,28,0.4600000000000001
TIME_EXIT,-0.13359999999999672,1680,0.03539999999999964,0.14140000000000327,961961769,HR10,0.4,28,0.77
TIME_EXIT,0.07140000000000328,1680,0.07755000000000109,0.041949999999997094,967474460,HR10,0.4,28,0.23000000000000004
TIME_EXIT,-0.19350000000000364,1680,0.03369999999999891,0.23750000000000002,967537507,HR10,0.4,28,0.25000000000000006
TIME_EXIT,-0.17345000000000255,1680,-0.0009000000000014552,0.2280000000000018,967734728,HR10,0.4,28,-17.790000000000003
TIME_EXIT,0.1330000000000018,1680,0.13434999999999492,0.008449999999993452,968001869,HR10,0.4,28,0.05
TIME_EXIT,-0.0869000000000051,1680,0.04284999999999855,0.13199999999999817,968013226,HR10,0.4,28,0.33
TIME_EXIT,0.13895000000000438,1680,0.1781500000000051,0.003249999999998181,968058727,HR10,0.4,28,0.8699999999999999
TIME_EXIT,-0.12784999999999855,1680,0.016849999999994907,0.1500500000000011,968069914,HR10,0.4,28,0.45
TIME_EXIT,-0.1981500000000051,1680,0.005849999999991269,0.251850000000004,968266860,HR10,0.4,28,-0.75
TIME_EXIT,-0.15585000000000038,1680,0.031249999999990907,0.22645000000000437,968272082,HR10,0.4,28,1.7899999999999998
TIME_EXIT,-0.009500000000007277,1740,0.06904999999999746,0.026950000000006184,961157547,MH,0.4,29,0.36000000000000004
TIME_EXIT,-0.006750000000001819,1740,0.07655000000000654,0.007349999999996726,961190682,MH,0.4,29,0.68
TIME_EXIT,0.060349999999998544,1740,0.07455000000000837,0.019149999999999636,961204403,MH,0.4,29,0.38000000000000006
TIME_EXIT,-0.03294999999999163,1740,0.0625,0.05124999999999091,961254178,MH,0.4,29,0.19
TIME_EXIT,-0.1768499999999949,1740,0.07684999999999491,0.18049999999999272,961291757,MH,0.4,29,0.32
TIME_EXIT,0.2061999999999989,1740,0.26284999999999853,0.02414999999999054,961328664,MH,0.4,29,0.4600000000000001
TIME_EXIT,-0.17059999999999492,1740,0.010950000000002546,0.20024999999999638,961377494,MH,0.4,29,0.53
TIME_EXIT,-0.14769999999999528,1740,0.03735000000000582,0.19945000000000618,961764204,MH,0.4,29,0.74
TIME_EXIT,0.1519999999999982,1740,0.22455000000000838,0.012250000000003638,961778065,MH,0.4,29,0.67
TIME_EXIT,-0.09329999999999927,1740,0.008599999999996727,0.14859999999999673,962007261,MH,0.4,29,0.49000000000000005
